Acanthaster planci
Acromyrmex echinatior
Acropora digitifera
Acropora millepora
Actinia tenebrosa
Acyrthosiphon pisum
Aedes aegypti
Aedes albopictus
Aethina tumida
Agrilus planipennis
Amphimedon queenslandica
Amyelois transitella
Anneissia japonica
Anopheles gambiae
Anoplophora glabripennis
Aphis gossypii
Apis cerana
Apis dorsata
Apis florea
Apis mellifera
Aplysia californica
Asterias rubens
Athalia rosae
Atta cephalotes
Atta colombica
Bactrocera dorsalis
Bactrocera oleae
Belonocnema treatae
Bemisia tabaci
Bicyclus anynana
Biomphalaria glabrata
Bombus bifarius
Bombus impatiens
Bombus terrestris
Bombus vancouverensis
Bombus vosnesenskii
Bombyx mori
Branchiostoma belcheri
Branchiostoma floridae
Brugia malayi
Caenorhabditis briggsae
Caenorhabditis elegans
Caenorhabditis remanei
Camponotus floridanus
Centruroides sculpturatus
Cephus cinctus
Ceratina calcarata
Ceratitis capitata
Ceratosolen solmsi
Cimex lectularius
Contarinia nasturtii
Copidosoma floridanum
Crassostrea gigas
Crassostrea virginica
Cryptotermes secundus
Ctenocephalides felis
Culex quinquefasciatus
Cyphomyrmex costatus
Danaus plexippus
Daphnia magna
Dendroctonus ponderosae
Dendronephthya gigantea
Dermatophagoides pteronyssinus
Diabrotica virgifera
Diachasma alloeum
Diaphorina citri
Dinoponera quadriceps
Diuraphis noxia
Drosophila albomicans
Drosophila ananassae
Drosophila arizonae
Drosophila biarmipes
Drosophila bipectinata
Drosophila busckii
Drosophila elegans
Drosophila erecta
Drosophila eugracilis
Drosophila ficusphila
Drosophila grimshawi
Drosophila guanche
Drosophila hydei
Drosophila kikkawai
Drosophila melanogaster
Drosophila miranda
Drosophila mojavensis
Drosophila navojoa
Drosophila novamexicana
Drosophila obscura
Drosophila persimilis
Drosophila pseudoobscura
Drosophila rhopaloa
Drosophila sechellia
Drosophila simulans
Drosophila suzukii
Drosophila takahashii
Drosophila virilis
Drosophila willistoni
Drosophila yakuba
Dufourea novaeangliae
Echinococcus granulosus
Eufriesea mexicana
Eurytemora affinis
Exaiptasia pallida
Folsomia candida
Fopius arisanus
Formica exsecta
Frankliniella occidentalis
Galendromus occidentalis
Habropoda laboriosa
Halyomorpha halys
Harpegnathos saltator
Helicoverpa armigera
Helobdella robusta
Hyalella azteca
Hydra vulgaris
Hyposmocoma kahamanoa
Ixodes scapularis
Leptinotarsa decemlineata
Limulus polyphemus
Linepithema humile
Lingula anatina
Loa loa
Lottia gigantea
Lucilia cuprina
Manduca sexta
Megachile rotundata
Megalopta genalis
Melanaphis sacchari
Microplitis demolitor
Mizuhopecten yessoensis
Monomorium pharaonis
Musca domestica
Myzus persicae
Nasonia vitripennis
Necator americanus
Nematostella vectensis
Neodiprion lecontei
Nicrophorus vespilloides
Nilaparvata lugens
Nomia melanderi
Nylanderia fulva
Octopus bimaculoides
Octopus vulgaris
Odontomachus brunneus
Onthophagus taurus
Ooceraea biroi
Opisthorchis viverrini
Orbicella faveolata
Orussus abietinus
Osmia bicornis
Osmia lignaria
Ostrinia furnacalis
Papilio machaon
Papilio polytes
Papilio xuthus
Parasteatoda tepidariorum
Pecten maximus
Pediculus humanus
Penaeus vannamei
Photinus pyralis
Pieris rapae
Plutella xylostella
Pocillopora damicornis
Pogonomyrmex barbatus
Polistes canadensis
Polistes dominula
Pomacea canaliculata
Priapulus caudatus
Pseudomyrmex gracilis
Rhagoletis zephyria
Rhopalosiphum maidis
Saccoglossus kowalevskii
Scaptodrosophila lebanonensis
Schistosoma haematobium
Schistosoma mansoni
Sipha flava
Sitophilus oryzae
Solenopsis invicta
Spodoptera litura
Stomoxys calcitrans
Strongylocentrotus purpuratus
Strongyloides ratti
Stylophora pistillata
Temnothorax curvispinosus
Tetranychus urticae
Thrips palmi
Trachymyrmex cornetzi
Trachymyrmex septentrionalis
Trachymyrmex zeteki
Tribolium castaneum
Trichinella spiralis
Trichogramma pretiosum
Trichoplax adhaerens
Trichoplusia ni
Vanessa tameamea
Varroa destructor
Vollenhovia emeryi
Wasmannia auropunctata
Zeugodacus cucurbitae
Zootermopsis nevadensis
Vertebrata
