3mL_27hr_1	3mL_27hr_0	NoFood_27hr_0	NoFood_27hr_1	WT_0	WT_1
XLOC_041020	0.715868768031297	0.655143454398265	0.0066342005972595	-0.384975620920294	-0.68843492274863	-0.304235879357897
XLOC_021238	-0.694677762122529	-0.334167527683459	-0.826885668693844	-0.827734660912358	1.35714233398942	1.32632328542277
XLOC_023374	-0.870178717250159	-0.753112067293148	0.114008122988556	-1.3622646778251	1.61841690850395	1.2531304308759
XLOC_048865	0.821454007210979	0.627260554635749	-0.0720772237997587	0.076723426497757	-0.769862483644813	-0.683498280899914
XLOC_070797	0.288152149904987	0.449416103419058	0.25738616906676	-0.331651474130268	-0.331651474130268	-0.331651474130268
XLOC_023575	1.13067783067925	0.431367148468485	0.434281927142049	0.831662473489124	-2.23226435519586	-0.595725024583041
XLOC_054344	2.64200362149053	3.33584511335205	-0.291445322598962	-3.39365327631672	-3.39365327631672	1.10090314038981
XLOC_063832	0.914484236896518	0.54620942861262	-0.458701792595569	-0.32882994649532	-0.458701792595569	-0.214460133822681
XLOC_016073	0.866877617567551	1.01148706767657	-0.502836820957606	0.448043567777923	-0.982969560619354	-0.840601871445081
XLOC_004694	1.65027088992941	0.932702764155217	-2.37959322433968	0.267724884406818	-0.447249662073717	-0.0238556520780535
XLOC_028384	-0.397266865621501	-0.44002617345122	-0.699956213958937	0.0607530795978647	0.865768601173883	0.61072757225991
XLOC_049437	0.735074728857565	0.582765206120451	0.114961369645001	-0.477600434874339	-0.477600434874339	-0.477600434874339
XLOC_067137	0.358150795973648	0.559282170373023	-0.217923807828957	-0.102621328440044	-0.321034259822329	-0.275853570255341
XLOC_062820	-0.535020278125949	-0.966693087077126	-1.84068734903104	0.21176680316019	1.31722947726308	1.81340443381085
XLOC_038032	-0.0198008469929922	-0.02684500229305	-2.20384403492239	-1.6517220249552	2.20881806646979	1.69339384269385
XLOC_029978	-0.977040400272716	-0.4950841658499	-2.71621883340694	0.712631060559188	1.57235382833544	1.90335851063494
XLOC_061294	-0.724856832861664	-0.956409636125337	-1.42919804446048	-1.12115311861829	2.16504106196227	2.0665765701035
XLOC_059701	0.992595850710637	1.27539178820585	1.12461831612341	1.54402814193325	-2.46831704848658	-2.46831704848658
XLOC_063977	-0.48801135801552	-0.625679885914429	1.4010115822958	1.16695100443325	-0.392000354099726	-1.06227098869938
XLOC_034548	-0.18138141019995	0.278531089423616	1.12744834694531	0.951732181945156	-1.07623908584982	-1.10009112226432
XLOC_001361	0.407188952178868	0.765793986155745	0.659908812369409	1.76456550144641	-2.31670594409948	-1.28075130805095
XLOC_047085	2.87756068714255	4.44657705129119	-3.14818794599184	2.1204260995418	-3.14818794599184	-3.14818794599184
XLOC_072154	-0.776407356424709	-0.938728265845392	-0.938728265845392	-0.938728265845392	1.90250017394285	1.69009198001804
XLOC_001740	0.992091359002935	0.490005448670383	0.708200340024973	0.878567924182685	-1.82814619008906	-1.24071888179192
XLOC_064734	1.00333765819905	1.1526082641401	-0.937344047197878	0.656086219254485	-0.937344047197878	-0.937344047197878
XLOC_061568	0.418837705099599	0.379792006371859	0.117532864802487	0.144467069295169	-0.397166470055759	-0.663463175513356
XLOC_025060	-2.49294303026128	-2.15991250734773	0.399162400851875	0.122806865703661	2.36362984797446	1.76725642307902
XLOC_010920	-0.546127561007804	-1.43743409599312	-0.779971337993093	-3.98677551225858	3.50896761150447	3.24134089574813
XLOC_027511	1.05239750623831	0.101249073620869	-2.48462499454386	-1.28248296970222	0.283710732957182	2.32975065142972
XLOC_011708	1.04762816415195	1.00493019558821	-0.370450559132821	-0.672803538243219	-0.336500724120908	-0.672803538243219
XLOC_049258	0.294945803676005	0.530645952915336	-0.229172047392919	-0.229172047392919	-0.138075614412584	-0.229172047392919
XLOC_071871	1.31235623386617	0.879655529362611	0.385674868469715	-0.561891480721362	-0.994030522910851	-1.02176462806628
XLOC_072035	0.352265153628861	0.311371729714292	-0.0673685816820397	0.0697753400158608	-0.276059136763879	-0.389984504913095
