clusters	colors
XLOC_041020	1	#00FF66FF
XLOC_021238	2	#00FF6CFF
XLOC_023374	3	#00FF72FF
XLOC_048865	1	#00FF66FF
XLOC_070797	1	#00FF66FF
XLOC_023575	4	#00FF77FF
XLOC_054344	5	#00FF7DFF
XLOC_063832	6	#00FF83FF
XLOC_016073	7	#00FF89FF
XLOC_004694	8	#00FF8FFF
XLOC_028384	2	#00FF6CFF
XLOC_049437	1	#00FF66FF
XLOC_067137	1	#00FF66FF
XLOC_062820	2	#00FF6CFF
XLOC_038032	9	#00FF94FF
XLOC_029978	10	#00FF9AFF
XLOC_061294	11	#00FFA0FF
XLOC_059701	12	#00FFA6FF
XLOC_063977	4	#00FF77FF
XLOC_034548	4	#00FF77FF
XLOC_001361	13	#00FFACFF
XLOC_047085	14	#00FFB1FF
XLOC_072154	2	#00FF6CFF
XLOC_001740	13	#00FFACFF
XLOC_064734	7	#00FF89FF
XLOC_061568	1	#00FF66FF
XLOC_025060	15	#00FFB7FF
XLOC_010920	16	#00FFBDFF
XLOC_027511	17	#00FFC3FF
XLOC_011708	1	#00FF66FF
XLOC_049258	6	#00FF83FF
XLOC_071871	1	#00FF66FF
XLOC_072035	1	#00FF66FF
XLOC_010074	18	#00FFC9FF
XLOC_039671	1	#00FF66FF
XLOC_027295	19	#00FFCEFF
XLOC_032045	20	#00FFD4FF
XLOC_038843	21	#00FFDAFF
XLOC_016050	2	#00FF6CFF
XLOC_011375	12	#00FFA6FF
XLOC_028539	3	#00FF72FF
XLOC_066479	3	#00FF72FF
XLOC_026224	6	#00FF83FF
XLOC_003504	6	#00FF83FF
XLOC_007121	22	#00FFE0FF
XLOC_048384	23	#00FFE6FF
XLOC_062360	23	#00FFE6FF
XLOC_021077	12	#00FFA6FF
XLOC_067297	2	#00FF6CFF
XLOC_002101	24	#00FFEBFF
XLOC_040763	25	#00FFF1FF
XLOC_062901	2	#00FF6CFF
XLOC_034356	6	#00FF83FF
XLOC_041279	22	#00FFE0FF
XLOC_025478	7	#00FF89FF
XLOC_009357	26	#00FFF7FF
XLOC_045907	1	#00FF66FF
XLOC_005909	3	#00FF72FF
XLOC_046259	6	#00FF83FF
XLOC_033046	1	#00FF66FF
XLOC_005457	27	#00FFFDFF
XLOC_005154	1	#00FF66FF
XLOC_039106	22	#00FFE0FF
XLOC_068467	22	#00FFE0FF
XLOC_006753	2	#00FF6CFF
XLOC_057545	1	#00FF66FF
XLOC_072094	6	#00FF83FF
XLOC_029671	28	#00FBFFFF
XLOC_070620	22	#00FFE0FF
XLOC_021093	29	#00F6FFFF
XLOC_029388	22	#00FFE0FF
XLOC_009253	19	#00FFCEFF
XLOC_071784	30	#00F0FFFF
XLOC_010299	1	#00FF66FF
XLOC_027569	7	#00FF89FF
XLOC_009893	2	#00FF6CFF
XLOC_065883	31	#00EAFFFF
XLOC_025844	9	#00FF94FF
XLOC_055066	1	#00FF66FF
XLOC_032318	32	#00E4FFFF
XLOC_043115	1	#00FF66FF
XLOC_023708	18	#00FFC9FF
XLOC_009094	33	#00DEFFFF
XLOC_012755	11	#00FFA0FF
XLOC_020048	34	#00D8FFFF
XLOC_025082	35	#00D3FFFF
XLOC_067007	1	#00FF66FF
XLOC_003894	36	#00CDFFFF
XLOC_072751	6	#00FF83FF
XLOC_060014	6	#00FF83FF
XLOC_059571	22	#00FFE0FF
XLOC_062516	2	#00FF6CFF
XLOC_031863	37	#00C7FFFF
XLOC_026395	6	#00FF83FF
XLOC_047694	1	#00FF66FF
XLOC_009638	38	#00C1FFFF
XLOC_033688	39	#00BBFFFF
XLOC_044689	40	#00B6FFFF
XLOC_007301	4	#00FF77FF
XLOC_051825	29	#00F6FFFF
XLOC_051178	4	#00FF77FF
XLOC_060463	41	#00B0FFFF
XLOC_040783	42	#00AAFFFF
XLOC_022871	30	#00F0FFFF
XLOC_026368	22	#00FFE0FF
XLOC_061707	4	#00FF77FF
XLOC_043813	22	#00FFE0FF
XLOC_025073	4	#00FF77FF
XLOC_022003	30	#00F0FFFF
XLOC_022169	43	#00A4FFFF
XLOC_063347	7	#00FF89FF
XLOC_011889	13	#00FFACFF
XLOC_043658	23	#00FFE6FF
XLOC_042926	13	#00FFACFF
XLOC_025421	11	#00FFA0FF
XLOC_010205	22	#00FFE0FF
XLOC_057459	44	#009EFFFF
XLOC_030818	30	#00F0FFFF
XLOC_014900	12	#00FFA6FF
XLOC_024006	1	#00FF66FF
XLOC_024645	45	#0099FFFF
XLOC_069655	4	#00FF77FF
XLOC_012694	1	#00FF66FF
XLOC_005825	23	#00FFE6FF
XLOC_015723	22	#00FFE0FF
XLOC_043884	33	#00DEFFFF
XLOC_063895	46	#0093FFFF
XLOC_053438	7	#00FF89FF
XLOC_062943	4	#00FF77FF
XLOC_058167	4	#00FF77FF
XLOC_066523	2	#00FF6CFF
XLOC_017049	47	#008DFFFF
XLOC_057896	48	#0087FFFF
XLOC_067494	49	#0081FFFF
XLOC_044921	4	#00FF77FF
XLOC_058788	50	#007CFFFF
XLOC_025829	51	#0076FFFF
XLOC_021435	22	#00FFE0FF
XLOC_023759	52	#0070FFFF
XLOC_033127	42	#00AAFFFF
XLOC_013849	31	#00EAFFFF
XLOC_035872	2	#00FF6CFF
XLOC_048670	46	#0093FFFF
XLOC_056131	2	#00FF6CFF
XLOC_041504	23	#00FFE6FF
XLOC_013073	9	#00FF94FF
XLOC_034253	7	#00FF89FF
XLOC_019230	1	#00FF66FF
XLOC_056374	11	#00FFA0FF
XLOC_035330	6	#00FF83FF
XLOC_015079	1	#00FF66FF
XLOC_061681	53	#006AFFFF
XLOC_044861	3	#00FF72FF
XLOC_019650	54	#0064FFFF
XLOC_041472	2	#00FF6CFF
XLOC_052366	55	#005FFFFF
XLOC_063450	36	#00CDFFFF
XLOC_038232	31	#00EAFFFF
XLOC_035935	23	#00FFE6FF
XLOC_026631	2	#00FF6CFF
XLOC_034995	56	#0059FFFF
XLOC_022435	57	#0053FFFF
XLOC_024789	2	#00FF6CFF
XLOC_020498	4	#00FF77FF
XLOC_035567	54	#0064FFFF
XLOC_070855	58	#004DFFFF
XLOC_003683	59	#0047FFFF
XLOC_039957	31	#00EAFFFF
XLOC_071063	6	#00FF83FF
XLOC_024451	60	#0042FFFF
XLOC_019006	31	#00EAFFFF
XLOC_020036	22	#00FFE0FF
XLOC_012588	6	#00FF83FF
XLOC_015215	38	#00C1FFFF
XLOC_017499	49	#0081FFFF
XLOC_042885	7	#00FF89FF
XLOC_013240	4	#00FF77FF
XLOC_020073	61	#003CFFFF
XLOC_006855	38	#00C1FFFF
XLOC_017983	38	#00C1FFFF
XLOC_015254	6	#00FF83FF
XLOC_030956	22	#00FFE0FF
XLOC_052380	9	#00FF94FF
XLOC_013348	24	#00FFEBFF
XLOC_060635	1	#00FF66FF
XLOC_069484	30	#00F0FFFF
XLOC_033504	1	#00FF66FF
XLOC_061641	22	#00FFE0FF
XLOC_041142	11	#00FFA0FF
XLOC_050018	11	#00FFA0FF
XLOC_048963	1	#00FF66FF
XLOC_038754	6	#00FF83FF
XLOC_034369	50	#007CFFFF
XLOC_018261	61	#003CFFFF
XLOC_026814	13	#00FFACFF
XLOC_059784	11	#00FFA0FF
XLOC_012220	23	#00FFE6FF
XLOC_057764	1	#00FF66FF
XLOC_050565	13	#00FFACFF
XLOC_069833	2	#00FF6CFF
XLOC_065337	7	#00FF89FF
XLOC_012498	62	#0036FFFF
XLOC_031829	63	#0030FFFF
XLOC_006950	4	#00FF77FF
XLOC_015796	4	#00FF77FF
XLOC_027871	1	#00FF66FF
XLOC_016648	9	#00FF94FF
XLOC_015532	1	#00FF66FF
XLOC_071692	1	#00FF66FF
XLOC_023854	4	#00FF77FF
XLOC_036622	62	#0036FFFF
XLOC_015318	36	#00CDFFFF
XLOC_000958	2	#00FF6CFF
XLOC_058727	13	#00FFACFF
XLOC_021835	56	#0059FFFF
XLOC_003874	11	#00FFA0FF
XLOC_040191	6	#00FF83FF
XLOC_068919	30	#00F0FFFF
XLOC_021265	23	#00FFE6FF
XLOC_023959	1	#00FF66FF
XLOC_017875	4	#00FF77FF
XLOC_045338	47	#008DFFFF
XLOC_056096	2	#00FF6CFF
XLOC_052958	7	#00FF89FF
XLOC_054883	2	#00FF6CFF
XLOC_063455	13	#00FFACFF
XLOC_033136	22	#00FFE0FF
XLOC_032757	4	#00FF77FF
XLOC_006416	23	#00FFE6FF
XLOC_054991	32	#00E4FFFF
XLOC_035350	1	#00FF66FF
XLOC_004105	1	#00FF66FF
XLOC_014876	4	#00FF77FF
