#gene_id	length
sampleA	1
XLOC_000001	357
XLOC_000002	1237
XLOC_000003	171
XLOC_000004	363
XLOC_000005	2483
XLOC_000006	1608
XLOC_000007	1116
XLOC_000008	2973
XLOC_000009	447
XLOC_000010	974
XLOC_000011	880
XLOC_000012	81
XLOC_000013	258
XLOC_000014	203
XLOC_000015	830
XLOC_000016	141
XLOC_000017	176
XLOC_000018	50
XLOC_000019	170
XLOC_000020	1719
XLOC_000021	863
XLOC_000022	699
XLOC_000023	188
XLOC_000024	3151
XLOC_000025	431
XLOC_000026	2709
XLOC_000027	50
XLOC_000028	1097
XLOC_000029	50
XLOC_000030	50
XLOC_000031	198
XLOC_000032	1931
XLOC_000033	399
XLOC_000034	822
XLOC_000035	875
XLOC_000036	178
XLOC_000037	3141
XLOC_000038	216
XLOC_000039	386
XLOC_000040	146
XLOC_000041	1065
XLOC_000042	192
XLOC_000043	1218
XLOC_000044	3615
XLOC_000045	1974
XLOC_000046	924
XLOC_000047	1803
XLOC_000048	7377
XLOC_000049	213
XLOC_000050	1528
XLOC_000051	602
XLOC_000052	1058
XLOC_000053	3279
XLOC_000054	507
XLOC_000055	683
XLOC_000056	6719
XLOC_000057	914
XLOC_000058	282
XLOC_000059	166
XLOC_000060	183
XLOC_000061	576
XLOC_000062	341
XLOC_000063	199
XLOC_000064	1595
XLOC_000065	2317
XLOC_000066	942
XLOC_000067	1855
XLOC_000068	2651
XLOC_000069	213
XLOC_000070	490
XLOC_000071	443
XLOC_000072	50
XLOC_000073	235
XLOC_000074	618
XLOC_000075	635
XLOC_000076	50
XLOC_000077	236
XLOC_000078	508
XLOC_000079	325
XLOC_000080	50
XLOC_000081	388
XLOC_000082	1431
XLOC_000083	222
XLOC_000084	375
XLOC_000085	530
XLOC_000086	814
XLOC_000087	1543
XLOC_000088	324
XLOC_000089	303
XLOC_000090	3142
XLOC_000091	1182
XLOC_000092	1702
XLOC_000093	774
XLOC_000094	597
XLOC_000095	1698
XLOC_000096	1823
XLOC_000097	3678
XLOC_000098	800
XLOC_000099	1336
XLOC_000100	1556
XLOC_000101	1637
XLOC_000102	3932
XLOC_000103	543
XLOC_000104	3783
XLOC_000105	3513
XLOC_000106	2079
XLOC_000107	1330
XLOC_000108	1254
XLOC_000109	1830
XLOC_000110	1131
XLOC_000111	4449
XLOC_000112	323
XLOC_000113	50
XLOC_000114	1378
XLOC_000115	118
XLOC_000116	430
XLOC_000117	50
XLOC_000118	91
XLOC_000119	156
XLOC_000120	173
XLOC_000121	153
XLOC_000122	50
XLOC_000123	300
XLOC_000124	203
XLOC_000125	517
XLOC_000126	337
XLOC_000127	1002
XLOC_000128	361
XLOC_000129	406
XLOC_000130	1783
XLOC_000131	2464
XLOC_000132	796
XLOC_000133	180
XLOC_000134	131
XLOC_000135	365
XLOC_000136	598
XLOC_000137	881
XLOC_000138	373
XLOC_000139	352
XLOC_000140	565
XLOC_000141	2404
XLOC_000142	1428
XLOC_000143	5233
XLOC_000144	472
XLOC_000145	159
XLOC_000146	440
XLOC_000147	2096
XLOC_000148	620
XLOC_000149	2892
XLOC_000150	52
XLOC_000151	187
XLOC_000152	270
XLOC_000153	444
XLOC_000154	697
XLOC_000155	867
XLOC_000156	355
XLOC_000157	763
XLOC_000158	50
XLOC_000159	822
XLOC_000160	504
XLOC_000161	102
XLOC_000162	514
XLOC_000163	560
XLOC_000164	299
XLOC_000165	573
XLOC_000166	1764
XLOC_000167	11634
XLOC_000168	1281
XLOC_000169	325
XLOC_000170	4389
XLOC_000171	1359
XLOC_000172	249
XLOC_000173	869
XLOC_000174	287
XLOC_000175	285
XLOC_000176	226
XLOC_000177	350
XLOC_000178	1479
XLOC_000179	388
XLOC_000180	997
XLOC_000181	650
XLOC_000182	388
XLOC_000183	261
XLOC_000184	552
XLOC_000185	325
XLOC_000186	441
XLOC_000187	345
XLOC_000188	118
XLOC_000189	316
XLOC_000190	414
XLOC_000191	243
XLOC_000192	891
XLOC_000193	287
XLOC_000194	844
XLOC_000195	2848
XLOC_000196	1256
XLOC_000197	3089
XLOC_000198	2838
XLOC_000199	4843
XLOC_000200	321
XLOC_000201	190
XLOC_000202	3840
XLOC_000203	176
XLOC_000204	1005
XLOC_000205	5207
XLOC_000206	4439
XLOC_000207	1206
XLOC_000208	4036
XLOC_000209	111
XLOC_000210	88
XLOC_000211	777
XLOC_000212	582
XLOC_000213	299
XLOC_000214	157
XLOC_000215	756
XLOC_000216	315
XLOC_000217	249
XLOC_000218	986
XLOC_000219	455
XLOC_000220	69
XLOC_000221	133
XLOC_000222	453
XLOC_000223	454
XLOC_000224	2609
XLOC_000225	300
XLOC_000226	204
XLOC_000227	262
XLOC_000228	50
XLOC_000229	240
XLOC_000230	60
XLOC_000231	309
XLOC_000232	300
XLOC_000233	648
XLOC_000234	3868
XLOC_000235	473
XLOC_000236	4379
XLOC_000237	942
XLOC_000238	3328
XLOC_000239	469
XLOC_000240	699
XLOC_000241	141
XLOC_000242	168
XLOC_000243	265
XLOC_000244	585
XLOC_000245	502
XLOC_000246	420
XLOC_000247	128
XLOC_000248	936
XLOC_000249	1963
XLOC_000250	297
XLOC_000251	1571
XLOC_000252	241
XLOC_000253	438
XLOC_000254	166
XLOC_000255	292
XLOC_000256	3606
XLOC_000257	257
XLOC_000258	160
XLOC_000259	816
XLOC_000260	615
XLOC_000261	361
XLOC_000263	606
XLOC_000264	59
XLOC_000265	806
XLOC_000266	331
XLOC_000267	240
XLOC_000268	290
XLOC_000269	231
XLOC_000270	634
XLOC_000271	254
XLOC_000272	964
XLOC_000273	440
XLOC_000274	348
XLOC_000275	50
XLOC_000276	123
XLOC_000277	181
XLOC_000278	492
XLOC_000279	550
XLOC_000280	2024
XLOC_000281	363
XLOC_000282	381
