IQ-TREE multicore version 1.6.12 for Mac OS X 64-bit built Aug 15 2019
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    Davids-MacBook-Air-2.local (AVX2, FMA3, 8 GB RAM)
Command: iqtree -s K06519.muscle
Seed:    326123 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Mon Mar 16 17:59:40 2020
Kernel:  AVX+FMA - 1 threads (4 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 4 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file K06519.muscle ... Fasta format detected
Alignment most likely contains protein sequences
Alignment has 7 sequences with 745 columns, 566 distinct patterns
246 parsimony-informative, 232 singleton sites, 267 constant sites
WARNING: Some sequence names are changed as follows:
K06519|Homo|hsa:6520_K06519_solute_carrier_family_3,_member_2_|_(RefSeq)_SLC3A2,_4F2,_4F2HC,_4T2HC,_CD98,_CD98HC,_MDU1,_NACAE;_solute_carrier_family_3_member_2_(A) -> K06519_Homo_hsa_6520_K06519_solute_carrier_family_3__member_2____RefSeq__SLC3A2__4F2__4F2HC__4T2HC__CD98__CD98HC__MDU1__NACAE__solute_carrier_family_3_member_2__A_
K06519|Mus|mmu:17254_K06519_solute_carrier_family_3,_member_2_|_(RefSeq)_Slc3a2,_4F2,_4F2HC,_AI314110,_Cd98,_Ly-10,_Ly-m10,_Ly10,_Mdu1,_Mgp-2hc,_NACAE;_solute_carrier_family_3_(activators_of_dibasic_and_neutral_amino_acid_transport),_member_2_(A) -> K06519_Mus_mmu_17254_K06519_solute_carrier_family_3__member_2____RefSeq__Slc3a2__4F2__4F2HC__AI314110__Cd98__Ly-10__Ly-m10__Ly10__Mdu1__Mgp-2hc__NACAE__solute_carrier_family_3__activators_of_dibasic_and_neutral_amino_acid_transport___member_2__A_
K06519|Helobdella|hro:HELRODRAFT_159582_K06519_solute_carrier_family_3,_member_2_|_(RefSeq)_hypothetical_protein_(A) -> K06519_Helobdella_hro_HELRODRAFT_159582_K06519_solute_carrier_family_3__member_2____RefSeq__hypothetical_protein__A_
K06519|Aurelia|XLOC_026693|TCONS_00037780.p1 -> K06519_Aurelia_XLOC_026693_TCONS_00037780.p1
K06519|Aurelia|XLOC_036668|TCONS_00052138|Seg2896.2.p1 -> K06519_Aurelia_XLOC_036668_TCONS_00052138_Seg2896.2.p1
K06519|Aurelia|XLOC_036668|TCONS_00052139|Seg2896.2.p1 -> K06519_Aurelia_XLOC_036668_TCONS_00052139_Seg2896.2.p1
K06519|Aurelia|XLOC_059605|TCONS_00083345|Seg6181.1.p1 -> K06519_Aurelia_XLOC_059605_TCONS_00083345_Seg6181.1.p1

                                                                                                                                                                                                                                                        Gap/Ambiguity  Composition  p-value
   1  K06519_Homo_hsa_6520_K06519_solute_carrier_family_3__member_2____RefSeq__SLC3A2__4F2__4F2HC__4T2HC__CD98__CD98HC__MDU1__NACAE__solute_carrier_family_3_member_2__A_                                                                                      16.91%    failed      0.02%
   2  K06519_Mus_mmu_17254_K06519_solute_carrier_family_3__member_2____RefSeq__Slc3a2__4F2__4F2HC__AI314110__Cd98__Ly-10__Ly-m10__Ly10__Mdu1__Mgp-2hc__NACAE__solute_carrier_family_3__activators_of_dibasic_and_neutral_amino_acid_transport___member_2__A_   30.60%    passed     15.62%
   3  K06519_Helobdella_hro_HELRODRAFT_159582_K06519_solute_carrier_family_3__member_2____RefSeq__hypothetical_protein__A_                                                                                                                                     27.79%    passed      9.57%
   4  K06519_Aurelia_XLOC_026693_TCONS_00037780.p1                                                                                                                                                                                                             83.89%    failed      1.45%
   5  K06519_Aurelia_XLOC_036668_TCONS_00052138_Seg2896.2.p1                                                                                                                                                                                                   24.83%    passed     57.47%
   6  K06519_Aurelia_XLOC_036668_TCONS_00052139_Seg2896.2.p1                                                                                                                                                                                                   24.83%    passed     57.47%
   7  K06519_Aurelia_XLOC_059605_TCONS_00083345_Seg6181.1.p1                                                                                                                                                                                                   57.72%    passed     57.28%
WARNING: 2 sequences contain more than 50% gaps/ambiguity
****  TOTAL                                                                                                                                                                                                                                                    38.08%  2 sequences failed composition chi2 test (p-value<5%; df=19)
NOTE: K06519_Aurelia_XLOC_036668_TCONS_00052139_Seg2896.2.p1 is identical to K06519_Aurelia_XLOC_036668_TCONS_00052138_Seg2896.2.p1 but kept for subsequent analysis


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.001 seconds
NOTE: ModelFinder requires 6 MB RAM!
ModelFinder will test 546 protein models (sample size: 745) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  Dayhoff       5380.637     11  10783.273    10783.634    10834.021
  2  Dayhoff+I     5373.839     12  10771.678    10772.105    10827.039
  3  Dayhoff+G4    5366.582     12  10757.164    10757.590    10812.525
  4  Dayhoff+I+G4  5367.212     13  10760.423    10760.921    10820.397
  5  Dayhoff+R2    5367.016     13  10760.031    10760.529    10820.005
  6  Dayhoff+R3    5366.629     15  10763.258    10763.916    10832.459
 14  Dayhoff+F     5335.730     30  10731.460    10734.065    10869.862
 15  Dayhoff+F+I   5327.465     31  10716.930    10719.713    10859.945
 16  Dayhoff+F+G4  5321.794     31  10705.589    10708.371    10848.603
 17  Dayhoff+F+I+G4 5321.927     32  10707.854    10710.820    10855.482
 18  Dayhoff+F+R2  5322.516     32  10709.032    10711.999    10856.661
 19  Dayhoff+F+R3  5321.921     34  10711.842    10715.195    10868.698
 27  mtMAM         5733.880     11  11489.760    11490.120    11540.507
 28  mtMAM+I       5698.839     12  11421.678    11422.104    11477.039
 29  mtMAM+G4      5663.010     12  11350.019    11350.445    11405.380
 30  mtMAM+I+G4    5662.469     13  11350.938    11351.436    11410.912
 31  mtMAM+R2      5677.428     13  11380.857    11381.355    11440.831
 32  mtMAM+R3      5669.938     15  11369.875    11370.534    11439.076
 33  mtMAM+R4      5662.678     17  11359.356    11360.198    11437.784
 34  mtMAM+R5      5661.930     19  11361.861    11362.909    11449.515
 40  mtMAM+F       5418.080     30  10896.161    10898.766    11034.562
 41  mtMAM+F+I     5393.264     31  10848.528    10851.310    10991.542
 42  mtMAM+F+G4    5365.361     31  10792.722    10795.505    10935.737
 43  mtMAM+F+I+G4  5365.117     32  10794.234    10797.200    10941.862
 44  mtMAM+F+R2    5370.209     32  10804.418    10807.384    10952.046
 45  mtMAM+F+R3    5369.256     34  10806.512    10809.864    10963.367
 53  JTT           5347.814     11  10717.628    10717.989    10768.376
 54  JTT+I         5344.421     12  10712.841    10713.267    10768.202
 55  JTT+G4        5339.191     12  10702.382    10702.808    10757.742
 56  JTT+I+G4      5339.628     13  10705.256    10705.754    10765.230
 57  JTT+R2        5339.245     13  10704.489    10704.987    10764.463
 58  JTT+R3        5339.235     15  10708.469    10709.128    10777.670
 66  JTT+F         5318.499     30  10696.999    10699.604    10835.400
 67  JTT+F+I       5313.911     31  10689.822    10692.604    10832.836
 68  JTT+F+G4      5309.518     31  10681.035    10683.818    10824.050
 69  JTT+F+I+G4    5309.734     32  10683.469    10686.435    10831.097
 70  JTT+F+R2      5309.642     32  10683.284    10686.250    10830.912
 71  JTT+F+R3      5309.642     34  10687.283    10690.635    10844.138
 79  WAG           5329.722     11  10681.445    10681.805    10732.192
 80  WAG+I         5327.621     12  10679.243    10679.669    10734.603
 81  WAG+G4        5325.554     12  10675.107    10675.534    10730.468
 82  WAG+I+G4      5325.734     13  10677.467    10677.965    10737.441
 83  WAG+R2        5325.637     13  10677.274    10677.772    10737.248
 84  WAG+R3        5325.617     15  10681.233    10681.891    10750.434
 92  WAG+F         5309.318     30  10678.635    10681.240    10817.037
 93  WAG+F+I       5306.179     31  10674.358    10677.141    10817.373
 94  WAG+F+G4      5304.490     31  10670.980    10673.762    10813.994
 95  WAG+F+I+G4    5304.507     32  10673.015    10675.981    10820.643
 96  WAG+F+R2      5304.605     32  10673.210    10676.176    10820.838
 97  WAG+F+R3      5304.604     34  10677.209    10680.561    10834.064
105  cpREV         5378.752     11  10779.504    10779.864    10830.251
106  cpREV+I       5374.798     12  10773.596    10774.022    10828.957
107  cpREV+G4      5369.069     12  10762.138    10762.564    10817.498
108  cpREV+I+G4    5369.330     13  10764.661    10765.159    10824.635
109  cpREV+R2      5369.166     13  10764.333    10764.831    10824.307
110  cpREV+R3      5369.144     15  10768.287    10768.946    10837.488
118  cpREV+F       5330.977     30  10721.953    10724.558    10860.355
119  cpREV+F+I     5324.876     31  10711.751    10714.534    10854.766
120  cpREV+F+G4    5320.652     31  10703.304    10706.086    10846.319
121  cpREV+F+I+G4  5320.630     32  10705.260    10708.226    10852.888
122  cpREV+F+R2    5321.014     32  10706.028    10708.994    10853.656
123  cpREV+F+R3    5321.004     34  10710.008    10713.360    10866.863
131  mtREV         5646.100     11  11314.200    11314.560    11364.947
132  mtREV+I       5631.818     12  11287.637    11288.063    11342.997
133  mtREV+G4      5615.894     12  11255.788    11256.214    11311.148
134  mtREV+I+G4    5615.766     13  11257.533    11258.031    11317.507
135  mtREV+R2      5617.579     13  11261.158    11261.656    11321.132
136  mtREV+R3      5617.220     15  11264.441    11265.099    11333.642
144  mtREV+F       5357.122     30  10774.245    10776.850    10912.646
